CI,Condition,Imaging_method,Colony,X_centerPx,Y_centerPx,X_centerUm,Y_centerUm,RadiusPx,RadiusUm,Spatial_calibration,Frame,Time
CI1390,exponential,TL,5,2809,2574,79114.2405063291,72495.5696202532,53.7401153701776,1513.56654048918,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,6,2960,1190,83367.0886075949,33515.8227848101,56.5685424949238,1593.22793735703,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,7,3503,2341,98660.4430379747,65933.2278481013,52.3259018078045,1473.73584205525,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,8,1601,1603,45091.4556962025,45147.7848101266,57.2756492761103,1613.14328657399,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,9,3434,2089,96717.0886075949,58835.7594936709,50.9116882454314,1433.90514362133,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,10,2818,943,79367.7215189873,26559.1772151899,57.2756492761103,1613.14328657399,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,11,2872,2859,80888.6075949367,80522.4683544304,57.9827560572969,1633.05863579096,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,12,3594,2009,101223.417721519,56582.5949367089,53.0330085889911,1493.65119127222,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,13,3003,2761,84578.164556962,77762.3417721519,54.4472221513642,1533.48188970614,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,14,3633,1618,102321.835443038,45570.253164557,55.1543289325507,1553.39723892311,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,15,1499,2067,42218.6708860759,58216.1392405063,57.9827560572969,1633.05863579096,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,16,1671,973,47062.9746835443,27404.1139240506,55.1543289325507,1553.39723892311,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,17,1746,857,49175.3164556962,24137.0253164557,57.2756492761103,1613.14328657399,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,18,2046,1782,57624.6835443038,50189.2405063291,57.2756492761103,1613.14328657399,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,19,2187,1867,61595.8860759494,52583.2278481013,55.1543289325507,1553.39723892311,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,20,2591,2865,72974.3670886076,80691.4556962025,57.9827560572969,1633.05863579096,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,21,1370,1603,38585.4430379747,45147.7848101266,55.1543289325507,1553.39723892311,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,22,1666,2080,46922.1518987342,58582.2784810127,53.7401153701776,1513.56654048918,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,23,1688,2238,47541.7721518987,63032.2784810127,55.1543289325507,1553.39723892311,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,24,2200,2002,61962.0253164557,56385.4430379747,55.8614357137373,1573.31258814007,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,25,2419,2168,68130.0632911392,61060.7594936709,58.6898628384834,1652.97398500792,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,26,2732,1943,76945.5696202532,54723.7341772152,57.2756492761103,1613.14328657399,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,27,2767,2491,77931.329113924,70157.9113924051,56.5685424949238,1593.22793735703,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,28,2920,695,82240.5063291139,19574.3670886076,55.8614357137373,1573.31258814007,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,29,2969,2010,83620.5696202532,56610.7594936709,57.2756492761103,1613.14328657399,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,30,3343,2057,94154.1139240506,57934.4936708861,54.4472221513642,1533.48188970614,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,31,3449,2513,97139.5569620253,70777.5316455696,54.4472221513642,1533.48188970614,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,32,3021,1365,85085.1265822785,38444.6202531646,56.5685424949238,1593.22793735703,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,33,2331,736,65651.582278481,20729.1139240506,52.3259018078045,1473.73584205525,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,34,2437,720,68637.0253164557,20278.4810126582,55.1543289325507,1553.39723892311,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,35,1563,1579,44021.2025316456,44471.835443038,51.618795026618,1453.82049283829,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,36,1963,1188,55287.0253164557,33459.4936708861,NaN,NaN,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,37,2032,1151,57230.3797468354,32417.4050632911,53.0330085889911,1493.65119127222,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,38,1313,1722,36980.0632911392,48499.3670886076,56.5685424949238,1593.22793735703,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,39,1297,1710,36529.4303797468,48161.3924050633,52.3259018078045,1473.73584205525,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,40,1856,1185,52273.417721519,33375,47.3761543394987,1334.32839753651,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,41,2045,672,57596.5189873418,18926.582278481,49.4974746830583,1394.0744451874,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,42,2032,691,57230.3797468354,19461.7088607595,NaN,NaN,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,43,2008,669,56554.4303797468,18842.0886075949,50.2045814642449,1413.98979440436,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,44,2359,758,66440.1898734177,21348.7341772152,NaN,NaN,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,45,2995,1250,84352.8481012658,35205.6962025316,52.3259018078045,1473.73584205525,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,46,3464,2390,97562.0253164557,67313.2911392405,50.9116882454314,1433.90514362133,28.1645569620253,215,35.6666666666667
CI1390,exponential,TL,1,3579,2224,100800.949367089,62637.9746835443,51.618795026618,1453.82049283829,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,2,1615,1339,45485.7594936709,37712.3417721519,55.8614357137373,1573.31258814007,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,3,2031,1083,57202.2151898734,30502.2151898734,53.7401153701776,1513.56654048918,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,4,3218,827,90633.5443037975,23292.0886075949,55.8614357137373,1573.31258814007,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,5,2809,2574,79114.2405063291,72495.5696202532,54.4472221513642,1533.48188970614,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,6,2960,1190,83367.0886075949,33515.8227848101,57.2756492761103,1613.14328657399,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,7,3503,2341,98660.4430379747,65933.2278481013,52.3259018078045,1473.73584205525,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,8,1601,1603,45091.4556962025,45147.7848101266,57.9827560572969,1633.05863579096,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,9,3434,2089,96717.0886075949,58835.7594936709,50.9116882454314,1433.90514362133,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,10,2818,943,79367.7215189873,26559.1772151899,57.2756492761103,1613.14328657399,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,11,2872,2859,80888.6075949367,80522.4683544304,57.9827560572969,1633.05863579096,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,12,3594,2009,101223.417721519,56582.5949367089,53.7401153701776,1513.56654048918,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,13,3003,2761,84578.164556962,77762.3417721519,55.1543289325507,1553.39723892311,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,14,3633,1618,102321.835443038,45570.253164557,55.8614357137373,1573.31258814007,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,15,1499,2067,42218.6708860759,58216.1392405063,57.9827560572969,1633.05863579096,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,16,1671,973,47062.9746835443,27404.1139240506,55.1543289325507,1553.39723892311,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,17,1746,857,49175.3164556962,24137.0253164557,57.2756492761103,1613.14328657399,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,18,2046,1782,57624.6835443038,50189.2405063291,57.2756492761103,1613.14328657399,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,19,2187,1867,61595.8860759494,52583.2278481013,55.1543289325507,1553.39723892311,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,20,2591,2865,72974.3670886076,80691.4556962025,57.9827560572969,1633.05863579096,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,21,1370,1603,38585.4430379747,45147.7848101266,55.1543289325507,1553.39723892311,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,22,1666,2080,46922.1518987342,58582.2784810127,53.7401153701776,1513.56654048918,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,23,1688,2238,47541.7721518987,63032.2784810127,55.8614357137373,1573.31258814007,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,24,2200,2002,61962.0253164557,56385.4430379747,55.8614357137373,1573.31258814007,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,25,2419,2168,68130.0632911392,61060.7594936709,58.6898628384834,1652.97398500792,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,26,2732,1943,76945.5696202532,54723.7341772152,57.2756492761103,1613.14328657399,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,27,2767,2491,77931.329113924,70157.9113924051,57.2756492761103,1613.14328657399,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,28,2920,695,82240.5063291139,19574.3670886076,56.5685424949238,1593.22793735703,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,29,2969,2010,83620.5696202532,56610.7594936709,57.2756492761103,1613.14328657399,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,30,3343,2057,94154.1139240506,57934.4936708861,55.1543289325507,1553.39723892311,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,31,3449,2513,97139.5569620253,70777.5316455696,54.4472221513642,1533.48188970614,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,32,3021,1365,85085.1265822785,38444.6202531646,56.5685424949238,1593.22793735703,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,33,2331,736,65651.582278481,20729.1139240506,52.3259018078045,1473.73584205525,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,34,2437,720,68637.0253164557,20278.4810126582,55.8614357137373,1573.31258814007,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,35,1563,1579,44021.2025316456,44471.835443038,52.3259018078045,1473.73584205525,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,36,1963,1188,55287.0253164557,33459.4936708861,NaN,NaN,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,37,2032,1151,57230.3797468354,32417.4050632911,53.0330085889911,1493.65119127222,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,38,1313,1722,36980.0632911392,48499.3670886076,57.2756492761103,1613.14328657399,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,39,1297,1710,36529.4303797468,48161.3924050633,53.0330085889911,1493.65119127222,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,40,1856,1185,52273.417721519,33375,47.3761543394987,1334.32839753651,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,41,2045,672,57596.5189873418,18926.582278481,49.4974746830583,1394.0744451874,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,42,2032,691,57230.3797468354,19461.7088607595,NaN,NaN,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,43,2008,669,56554.4303797468,18842.0886075949,50.2045814642449,1413.98979440436,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,44,2359,758,66440.1898734177,21348.7341772152,NaN,NaN,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,45,2995,1250,84352.8481012658,35205.6962025316,53.0330085889911,1493.65119127222,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,46,3464,2390,97562.0253164557,67313.2911392405,50.9116882454314,1433.90514362133,28.1645569620253,216,35.8333333333333
CI1390,exponential,TL,1,3579,2224,100800.949367089,62637.9746835443,51.618795026618,1453.82049283829,28.1645569620253,217,36
CI1390,exponential,TL,2,1615,1339,45485.7594936709,37712.3417721519,56.5685424949238,1593.22793735703,28.1645569620253,217,36
CI1390,exponential,TL,3,2031,1083,57202.2151898734,30502.2151898734,53.7401153701776,1513.56654048918,28.1645569620253,217,36
CI1390,exponential,TL,4,3218,827,90633.5443037975,23292.0886075949,55.8614357137373,1573.31258814007,28.1645569620253,217,36
CI1390,exponential,TL,5,2809,2574,79114.2405063291,72495.5696202532,54.4472221513642,1533.48188970614,28.1645569620253,217,36
CI1390,exponential,TL,6,2960,1190,83367.0886075949,33515.8227848101,57.2756492761103,1613.14328657399,28.1645569620253,217,36
CI1390,exponential,TL,7,3503,2341,98660.4430379747,65933.2278481013,53.0330085889911,1493.65119127222,28.1645569620253,217,36
CI1390,exponential,TL,8,1601,1603,45091.4556962025,45147.7848101266,57.9827560572969,1633.05863579096,28.1645569620253,217,36
CI1390,exponential,TL,9,3434,2089,96717.0886075949,58835.7594936709,50.9116882454314,1433.90514362133,28.1645569620253,217,36
CI1390,exponential,TL,10,2818,943,79367.7215189873,26559.1772151899,57.9827560572969,1633.05863579096,28.1645569620253,217,36
CI1390,exponential,TL,11,2872,2859,80888.6075949367,80522.4683544304,57.9827560572969,1633.05863579096,28.1645569620253,217,36
CI1390,exponential,TL,12,3594,2009,101223.417721519,56582.5949367089,53.7401153701776,1513.56654048918,28.1645569620253,217,36
CI1390,exponential,TL,13,3003,2761,84578.164556962,77762.3417721519,55.1543289325507,1553.39723892311,28.1645569620253,217,36
CI1390,exponential,TL,14,3633,1618,102321.835443038,45570.253164557,55.8614357137373,1573.31258814007,28.1645569620253,217,36
CI1390,exponential,TL,15,1499,2067,42218.6708860759,58216.1392405063,58.6898628384834,1652.97398500792,28.1645569620253,217,36
CI1390,exponential,TL,16,1671,973,47062.9746835443,27404.1139240506,55.8614357137373,1573.31258814007,28.1645569620253,217,36
CI1390,exponential,TL,17,1746,857,49175.3164556962,24137.0253164557,57.9827560572969,1633.05863579096,28.1645569620253,217,36
CI1390,exponential,TL,18,2046,1782,57624.6835443038,50189.2405063291,57.2756492761103,1613.14328657399,28.1645569620253,217,36
CI1390,exponential,TL,19,2187,1867,61595.8860759494,52583.2278481013,55.8614357137373,1573.31258814007,28.1645569620253,217,36
CI1390,exponential,TL,20,2591,2865,72974.3670886076,80691.4556962025,57.9827560572969,1633.05863579096,28.1645569620253,217,36
CI1390,exponential,TL,21,1370,1603,38585.4430379747,45147.7848101266,55.1543289325507,1553.39723892311,28.1645569620253,217,36
CI1390,exponential,TL,22,1666,2080,46922.1518987342,58582.2784810127,53.7401153701776,1513.56654048918,28.1645569620253,217,36
CI1390,exponential,TL,23,1688,2238,47541.7721518987,63032.2784810127,55.8614357137373,1573.31258814007,28.1645569620253,217,36
CI1390,exponential,TL,24,2200,2002,61962.0253164557,56385.4430379747,55.8614357137373,1573.31258814007,28.1645569620253,217,36
CI1390,exponential,TL,25,2419,2168,68130.0632911392,61060.7594936709,58.6898628384834,1652.97398500792,28.1645569620253,217,36
CI1390,exponential,TL,26,2732,1943,76945.5696202532,54723.7341772152,57.2756492761103,1613.14328657399,28.1645569620253,217,36
CI1390,exponential,TL,27,2767,2491,77931.329113924,70157.9113924051,57.2756492761103,1613.14328657399,28.1645569620253,217,36
CI1390,exponential,TL,28,2920,695,82240.5063291139,19574.3670886076,56.5685424949238,1593.22793735703,28.1645569620253,217,36
CI1390,exponential,TL,29,2969,2010,83620.5696202532,56610.7594936709,57.9827560572969,1633.05863579096,28.1645569620253,217,36
CI1390,exponential,TL,30,3343,2057,94154.1139240506,57934.4936708861,55.1543289325507,1553.39723892311,28.1645569620253,217,36
CI1390,exponential,TL,31,3449,2513,97139.5569620253,70777.5316455696,55.1543289325507,1553.39723892311,28.1645569620253,217,36
CI1390,exponential,TL,32,3021,1365,85085.1265822785,38444.6202531646,57.2756492761103,1613.14328657399,28.1645569620253,217,36
CI1390,exponential,TL,33,2331,736,65651.582278481,20729.1139240506,52.3259018078045,1473.73584205525,28.1645569620253,217,36
CI1390,exponential,TL,34,2437,720,68637.0253164557,20278.4810126582,55.8614357137373,1573.31258814007,28.1645569620253,217,36
CI1390,exponential,TL,35,1563,1579,44021.2025316456,44471.835443038,52.3259018078045,1473.73584205525,28.1645569620253,217,36
CI1390,exponential,TL,36,1963,1188,55287.0253164557,33459.4936708861,NaN,NaN,28.1645569620253,217,36
CI1390,exponential,TL,37,2032,1151,57230.3797468354,32417.4050632911,53.0330085889911,1493.65119127222,28.1645569620253,217,36
CI1390,exponential,TL,38,1313,1722,36980.0632911392,48499.3670886076,57.9827560572969,1633.05863579096,28.1645569620253,217,36
CI1390,exponential,TL,39,1297,1710,36529.4303797468,48161.3924050633,53.7401153701776,1513.56654048918,28.1645569620253,217,36
CI1390,exponential,TL,40,1856,1185,52273.417721519,33375,48.0832611206852,1354.24374675348,28.1645569620253,217,36
CI1390,exponential,TL,41,2045,672,57596.5189873418,18926.582278481,49.4974746830583,1394.0744451874,28.1645569620253,217,36
